;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
135;MTN;50;5;41;4;cw;9;-0,030416980643255265;0,004025960322845254;0,0021119024665854753;5,853463863525434e-06;0,0016442233772965779;-0,2618946444938599;62,02109071851436;Not saved
136;ANN;50;5;41;4;cm;9;0,7243378613684746;0,003202994915348133;0,0013480831454467654;2,9781597016262758e-06;0,0007971534476124953;0,29277776483953455;18,36446801232044;Not saved
137;RFR;50;5;41;4;cm;9;0,39607132756264996;0,0031206509259682743;0,002209204498685813;5,676678685551001e-06;0,002419047113052376;-0,3480383157729485;30,695605665549795;Not saved
138;GPR;50;5;41;4;cm;9;0,8325056256297417;0,0020472826079170033;0,0006668686868632413;1,1328302609583253e-06;0,00030421089875882395;0,7309873111321494;15,652973617555277;Not saved
139;MTN;50;5;41;4;cm;9;-0,04049742261625622;0,0034328457924245204;0,002183608708264271;5,422195325797266e-06;0,0019974891488700967;-0,28760626761988894;35,141417239903696;Not saved
140;ANN;50;5;41;4;lai;9;0,8705040744990129;2,140591777323017;1,1217646410886921;2,179386236082294;1,1039588648060783;0,7486583196453134;12,934439116913413;Not saved
141;RFR;50;5;41;4;lai;9;0,7402030801512764;3,1966557314885637;1,3414755828986555;3,0868975114804313;0,9398988310123826;0,6439979317237025;17,900051717490346;Not saved
142;GPR;50;5;41;4;lai;9;0,9258473697292876;1,8918520254332325;0,5032289555239433;0,8962175839131542;0,0496956673595883;0,8966420775836983;16,582860120465593;Not saved
143;MTN;50;5;41;4;lai;9;0,8791085903762959;1,8504635462744332;1,3414597323362507;1,9873692394269116;1,3853092827961606;0,7708030289203341;22,461968339610642;Not saved
144;ANN;50;5;41;4;cab;10;0,9091261409025455;18,101748511321773;8,732103214469692;109,05448246847175;6,902676788909524;0,8885401414259857;12,374318244626892;Not saved
145;RFR;50;5;41;4;cab;10;0,9778672930444476;8,13717874054936;3,7450257735446755;21,75976217246884;3,164702516534014;0,9777602904580401;5,19745335197483;Not saved
146;GPR;50;5;41;4;cab;10;0,9992430999125673;1,786689391393054;0,6029805584906178;0,8409340963906244;0,2861708297745196;0,9991405177180052;0,5749051004171368;Not saved
147;MTN;50;5;41;4;cab;10;0,9332441191604075;14,990550086028804;6,985738414390735;70,43129426024316;4,7238700128796225;0,928015227620735;9,169000368135514;Not saved
148;ANN;50;5;41;4;cw;10;0,6224662119653779;0,001682103303732977;0,001092996745215714;1,4909469268279253e-06;0,0010980083979855104;0,6217717090317064;20,165679715712276;Not saved
149;RFR;50;5;41;4;cw;10;-0,3028406800200847;0,0032683201675734346;0,002078865155039768;5,144027764462599e-06;0,001987598054268638;-0,3049537814102825;39,30851516188412;Not saved
150;GPR;50;5;41;4;cw;10;0,9989358453444189;0,00017474158693533796;7,117681348705902e-05;9,260954849032843e-09;5,229815354547071e-05;0,9976506506957048;1,1798139854660736;Not saved
151;MTN;50;5;41;4;cw;10;0,667953686287563;0,0016689577279809056;0,0009693877714071275;1,3094475409359525e-06;0,0009927635707548442;0,6678150666472378;18,899802074579476;Not saved
