"";"Model";"NSamples";"Variable";"MAPE";"sd";"ErrorType";"ErrorTypeNames";"Model_ErrorType";"PT_type"
"202";"GPR";3350;"cw";0,0479063175642197;0,000687312269574015;"Out-of-bag";"Validation error";"GPR Validation error";17
"203";"MTN";3350;"cw";1,91695044088755;0,488476344367691;"Out-of-bag";"Validation error";"MTN Validation error";17
"204";"RFR";3350;"cw";45,7804469576718;0,257281486652896;"Out-of-bag";"Validation error";"RFR Validation error";17
"205";"ANN";3600;"cw";2,06691163630745;0,284834810452591;"Out-of-bag";"Validation error";"ANN Validation error";17
"206";"GPR";3600;"cw";0,0494927119829739;0,000706373739935427;"Out-of-bag";"Validation error";"GPR Validation error";17
"207";"MTN";3600;"cw";1,46825025101363;0,210008473264651;"Out-of-bag";"Validation error";"MTN Validation error";17
"208";"RFR";3600;"cw";43,2347595881345;0,322126549492986;"Out-of-bag";"Validation error";"RFR Validation error";17
"209";"ANN";3850;"cw";2,16520831205053;0,417180608161676;"Out-of-bag";"Validation error";"ANN Validation error";17
"210";"GPR";3850;"cw";0,0581299684953566;0,00177703550025749;"Out-of-bag";"Validation error";"GPR Validation error";17
"211";"MTN";3850;"cw";2,41737978384594;1,31367434771485;"Out-of-bag";"Validation error";"MTN Validation error";17
"212";"RFR";3850;"cw";46,6903417745335;0,139664223143889;"Out-of-bag";"Validation error";"RFR Validation error";17
"213";"ANN";4000;"cw";2,07609932435901;0,609740663301452;"Out-of-bag";"Validation error";"ANN Validation error";17
"214";"GPR";4000;"cw";0,0435916330770559;0,000775218957428374;"Out-of-bag";"Validation error";"GPR Validation error";17
"215";"MTN";4000;"cw";1,78030571611616;0,52287481493682;"Out-of-bag";"Validation error";"MTN Validation error";17
"216";"RFR";4000;"cw";42,379518415492;0,166890174067163;"Out-of-bag";"Validation error";"RFR Validation error";17
"217";"ANN";50;"lai";27,8967111135497;4,67067010578443;"Out-of-bag";"Validation error";"ANN Validation error";17
"218";"GPR";50;"lai";16,506902892237;5,11490660988253;"Out-of-bag";"Validation error";"GPR Validation error";17
"219";"MTN";50;"lai";23,8956524546566;4,15591942001294;"Out-of-bag";"Validation error";"MTN Validation error";17
"220";"RFR";50;"lai";63,6224635732126;2,24383691264244;"Out-of-bag";"Validation error";"RFR Validation error";17
"221";"ANN";100;"lai";18,7774775147397;3,70379030142009;"Out-of-bag";"Validation error";"ANN Validation error";17
"222";"GPR";100;"lai";7,1843976549157;3,26709121040582;"Out-of-bag";"Validation error";"GPR Validation error";17
"223";"MTN";100;"lai";15,351940346558;3,22499919414429;"Out-of-bag";"Validation error";"MTN Validation error";17
"224";"RFR";100;"lai";51,5431983396117;5,67145136574704;"Out-of-bag";"Validation error";"RFR Validation error";17
"225";"ANN";350;"lai";21,0126544516102;7,07213471260465;"Out-of-bag";"Validation error";"ANN Validation error";17
"226";"GPR";350;"lai";0,735209428240908;0,175226562411407;"Out-of-bag";"Validation error";"GPR Validation error";17
"227";"MTN";350;"lai";12,8668375315714;2,93169347312708;"Out-of-bag";"Validation error";"MTN Validation error";17
"228";"RFR";350;"lai";38,8205160131833;3,53334612530516;"Out-of-bag";"Validation error";"RFR Validation error";17
"229";"ANN";600;"lai";13,070101784122;2,90153562061887;"Out-of-bag";"Validation error";"ANN Validation error";17
"230";"GPR";600;"lai";0,299760752769335;0,0350758676178438;"Out-of-bag";"Validation error";"GPR Validation error";17
"231";"MTN";600;"lai";12,5278459917964;3,57690375934011;"Out-of-bag";"Validation error";"MTN Validation error";17
"232";"RFR";600;"lai";39,7066135099356;2,98411203814517;"Out-of-bag";"Validation error";"RFR Validation error";17
"233";"ANN";850;"lai";9,95666592439696;2,15934555743541;"Out-of-bag";"Validation error";"ANN Validation error";17
"234";"GPR";850;"lai";0,273277084909712;0,0351367839489419;"Out-of-bag";"Validation error";"GPR Validation error";17
"235";"MTN";850;"lai";8,17839968263192;2,94151013190486;"Out-of-bag";"Validation error";"MTN Validation error";17
"236";"RFR";850;"lai";16,7959609578766;1,32191213415568;"Out-of-bag";"Validation error";"RFR Validation error";17
"237";"ANN";1100;"lai";7,86684661145959;1,59544760677893;"Out-of-bag";"Validation error";"ANN Validation error";17
"238";"GPR";1100;"lai";0,224797743504584;0,00998382634561551;"Out-of-bag";"Validation error";"GPR Validation error";17
